"gene","train_test","tissue","Pearson","name"
"CD71","LymphNode2","Lymph Node",0.88394892469688,""
"CD71","Spleen1","Spleen",0.656005090375427,""
"CD71","Spleen2","Spleen",0.603887828835078,""
"CD73","LymphNode1","Lymph Node",0.843679478070709,""
"CD73","LymphNode2","Lymph Node",0.837368500189157,""
"CD73","Spleen1","Spleen",0.852365938483946,""
"CD73","Spleen2","Spleen",0.852470743462445,""
"CD81","LymphNode1","Lymph Node",0.625770096468202,""
"CD81","LymphNode2","Lymph Node",0.642249236061303,""
"CD81","Spleen1","Spleen",0.661954152312859,""
"CD81","Spleen2","Spleen",0.654833833559392,""
"CD86","LymphNode1","Lymph Node",0.655926211903166,""
"CD86","LymphNode2","Lymph Node",0.65223018413421,""
"CD86","Spleen1","Spleen",0.694665952789604,""
"CD86","Spleen2","Spleen",0.678446537799623,""
"CD88","LymphNode1","Lymph Node",0.727365166087588,""
"CD88","LymphNode2","Lymph Node",0.79247243574031,""
"CD88","Spleen1","Spleen",0.951131202494431,""
"CD88","Spleen2","Spleen",0.945756532127114,""
"CD8a","LymphNode1","Lymph Node",0.971902682674179,""
"CD8a","LymphNode2","Lymph Node",0.971890270968144,""
"CD8a","Spleen1","Spleen",0.957217244552579,""
"CD8a","Spleen2","Spleen",0.956567911121698,""
"CD8b","LymphNode1","Lymph Node",0.970504715601886,""
"CD8b","LymphNode2","Lymph Node",0.971557562219127,""
"CD8b","Spleen1","Spleen",0.960172323909733,""
"CD8b","Spleen2","Spleen",0.959797598529238,""
"CD9","LymphNode1","Lymph Node",0.833046420979561,""
"CD9","LymphNode2","Lymph Node",0.844500300128093,""
"CD9","Spleen1","Spleen",0.86196336343831,""
"CD9","Spleen2","Spleen",0.835724106458751,""
"CD90","LymphNode1","Lymph Node",0.961586842222764,""
"CD90","LymphNode2","Lymph Node",0.9646396229309,""
"CD90","Spleen1","Spleen",0.974468835991605,""
"CD90","Spleen2","Spleen",0.970754010174518,""
"CD93","LymphNode1","Lymph Node",0.395075408009257,""
"CD93","LymphNode2","Lymph Node",0.399012400280247,""
"CD93","Spleen1","Spleen",0.77585229468845,""
"CD93","Spleen2","Spleen",0.763889723141574,""
"CD94","LymphNode1","Lymph Node",0.685128281487918,""
"CD94","LymphNode2","Lymph Node",0.616563922722552,""
"CD94","Spleen1","Spleen",0.757813134768683,""
